fixture_version,scenario_id,metric_id,operation,numerator,denominator,scale,status_value,data_through_at_utc,evaluated_at_utc,input_quality_status,limitation_code,data_origin
1.0.0,clean_baseline,qualified_leads_per_1000_engaged_sessions,ratio,100,5000,1000,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,qualified_lead_rate,ratio,100,120,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,cost_per_qualified_lead,ratio,25000,100,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,crm_match_rate,ratio,120,125,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,model_to_test_drive_rate,ratio,50,1000,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,configurator_completion_rate,ratio,300,500,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,finance_to_lead_progression_rate,ratio,80,400,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,test_drive_attendance_rate,ratio,45,60,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,vehicle_order_rate,ratio,20,100,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,experiment_qualified_lead_rate,ratio,30,300,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,experiment_srm_status,status,,,1,pass,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,personalisation_holdout_lift,difference,0.12,0.10,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,event_parameter_completeness,ratio,98,100,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,utm_compliance_rate,ratio,95,100,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,clean_baseline,data_freshness_status,freshness,,,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,synthetic_demo_only,synthetic
1.0.0,unmatched_crm,crm_match_rate,ratio,8,10,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,warn,unmatched_crm,synthetic
1.0.0,identity_conflict,crm_match_rate,ratio,7,10,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,fail,identity_conflict,synthetic
1.0.0,zero_denominator,cost_per_qualified_lead,ratio,1000,0,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,unknown,zero_denominator,synthetic
1.0.0,stale_data,data_freshness_status,freshness,,,1,,2026-09-25T00:00:00Z,2026-10-01T00:00:00Z,pass,stale_data,synthetic
1.0.0,invalid_utm,utm_compliance_rate,ratio,7,10,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,warn,invalid_utm,synthetic
1.0.0,missing_parameter,event_parameter_completeness,ratio,8,10,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,warn,missing_parameter,synthetic
1.0.0,srm_failure,experiment_srm_status,status,,,1,fail,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,fail,srm_failure,synthetic
1.0.0,personalisation_holdout,personalisation_holdout_lift,difference,0.25,0.20,1,,2026-09-30T23:00:00Z,2026-10-01T00:00:00Z,pass,personalisation_holdout,synthetic
